Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,10/5/2023,6:00 PM,10/5/2023,8:30 PM,4 Sheets To The Wind at Bada Bing Bada Broom,,Sheet A,,,0,Game,,23HF01,0,23HF02,,FALSE,539473309
SportsEngine,10/5/2023,6:00 PM,10/5/2023,8:30 PM,Barber at Butter Cutters,,Sheet B,,,0,Game,,23HF03,0,23HF04,,FALSE,539473310
SportsEngine,10/5/2023,6:00 PM,10/5/2023,8:30 PM,Curlin' Baconators at Haggis Hitters,,Sheet C,,,0,Game,,23HF05,0,23HF06,,FALSE,539473311
SportsEngine,10/5/2023,8:30 PM,10/5/2023,10:30 PM,Ice Breakers at Liske,,Sheet A,,,0,Game,,23HF07,0,23HF08,,FALSE,539473312
SportsEngine,10/5/2023,8:30 PM,10/5/2023,10:30 PM,Perfect Curl at Right Down The Line,,Sheet B,,,0,Game,,23HF09,0,23HF10,,FALSE,539473313
SportsEngine,10/5/2023,8:30 PM,10/5/2023,10:30 PM,Rutherford at Standeven,,Sheet C,,,0,Game,,23HF11,0,23HF12,,FALSE,539473314
SportsEngine,10/12/2023,6:00 PM,10/12/2023,8:30 PM,Perfect Curl at Standeven,,Sheet A,,,0,Game,,23HF09,0,23HF12,,FALSE,539473315
SportsEngine,10/12/2023,6:00 PM,10/12/2023,8:30 PM,Ice Breakers at Rutherford,,Sheet B,,,0,Game,,23HF07,0,23HF11,,FALSE,539473316
SportsEngine,10/12/2023,6:00 PM,10/12/2023,8:30 PM,Butter Cutters at Right Down The Line,,Sheet C,,,0,Game,,23HF04,0,23HF10,,FALSE,539473317
SportsEngine,10/12/2023,8:30 PM,10/12/2023,10:30 PM,Barber at Haggis Hitters,,Sheet A,,,0,Game,,23HF03,0,23HF06,,FALSE,539473318
SportsEngine,10/12/2023,8:30 PM,10/12/2023,10:30 PM,4 Sheets To The Wind at Curlin' Baconators,,Sheet B,,,0,Game,,23HF01,0,23HF05,,FALSE,539473319
SportsEngine,10/12/2023,8:30 PM,10/12/2023,10:30 PM,Bada Bing Bada Broom at Liske,,Sheet C,,,0,Game,,23HF02,0,23HF08,,FALSE,539473320
SportsEngine,10/19/2023,6:00 PM,10/19/2023,8:30 PM,Curlin' Baconators at Rutherford,,Sheet A,,,0,Game,,23HF05,0,23HF11,,FALSE,539473321
SportsEngine,10/19/2023,6:00 PM,10/19/2023,8:30 PM,Liske at Right Down The Line,,Sheet B,,,0,Game,,23HF08,0,23HF10,,FALSE,539473322
SportsEngine,10/19/2023,6:00 PM,10/19/2023,8:30 PM,4 Sheets To The Wind at Haggis Hitters,,Sheet C,,,0,Game,,23HF01,0,23HF06,,FALSE,539473323
SportsEngine,10/19/2023,8:30 PM,10/19/2023,10:30 PM,Butter Cutters at Ice Breakers,,Sheet A,,,0,Game,,23HF04,0,23HF07,,FALSE,539473324
SportsEngine,10/19/2023,8:30 PM,10/19/2023,10:30 PM,Bada Bing Bada Broom at Standeven,,Sheet B,,,0,Game,,23HF02,0,23HF12,,FALSE,539473325
SportsEngine,10/19/2023,8:30 PM,10/19/2023,10:30 PM,Barber at Perfect Curl,,Sheet C,,,0,Game,,23HF03,0,23HF09,,FALSE,539473326
SportsEngine,10/26/2023,6:00 PM,10/26/2023,8:30 PM,Bada Bing Bada Broom at Barber,,Sheet A,,,0,Game,,23HF02,0,23HF03,,FALSE,539473327
SportsEngine,10/26/2023,6:00 PM,10/26/2023,8:30 PM,4 Sheets To The Wind at Perfect Curl,,Sheet B,,,0,Game,,23HF01,0,23HF09,,FALSE,539473328
SportsEngine,10/26/2023,6:00 PM,10/26/2023,8:30 PM,Curlin' Baconators at Ice Breakers,,Sheet C,,,0,Game,,23HF05,0,23HF07,,FALSE,539473329
SportsEngine,10/26/2023,8:30 PM,10/26/2023,10:30 PM,Haggis Hitters at Liske,,Sheet A,,,0,Game,,23HF06,0,23HF08,,FALSE,539473330
