Format,Start_Date,Start_Time,End_Date,End_Time,Location,Team1_ID,Team2_ID,Description,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_Is_Home,Team2_Name,Custom_Opponent
SportsEngine,2025-09-12,18:00:00,2025-09-12,20:00:00,Sheet A,25HF04,25HF08,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-12,18:00:00,2025-09-12,20:00:00,Sheet B,25HF10,25HF01,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-12,18:00:00,2025-09-12,20:00:00,Sheet C,25HF02,25HF06,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-12,20:30:00,2025-09-12,22:30:00,Sheet A,25HF05,25HF12,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-12,20:30:00,2025-09-12,22:30:00,Sheet B,25HF03,25HF00,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-12,20:30:00,2025-09-12,22:30:00,Sheet C,25HF11,25HF07,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-09,18:00:00,2025-10-09,20:00:00,Sheet A,25HF09,25HF03,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-09,18:00:00,2025-10-09,20:00:00,Sheet B,25HF05,25HF10,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-09,18:00:00,2025-10-09,20:00:00,Sheet C,25HF07,25HF12,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-09,20:30:00,2025-10-09,22:30:00,Sheet A,25HF06,25HF01,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-09,20:30:00,2025-10-09,22:30:00,Sheet B,25HF04,25HF00,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-09,20:30:00,2025-10-09,22:30:00,Sheet C,25HF02,25HF08,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-13,18:00:00,2025-11-13,20:00:00,Sheet A,25HF05,25HF11,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-13,18:00:00,2025-11-13,20:00:00,Sheet B,25HF06,25HF12,,,,0,Game,,1,0,FALSE
