Format,Start_Date,Start_Time,End_Date,End_Time,Location,Team1_ID,Team2_ID,Description,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_Is_Home,Team2_Name,Custom_Opponent
SportsEngine,09/28/2026,18:00:00,09/28/2026,20:00:00,Sheet A,263F02,263F05,,,,0,Game,,1,0,FALSE
SportsEngine,09/28/2026,18:00:00,09/28/2026,20:00:00,Sheet B,263F03,263F04,,,,0,Game,,1,0,FALSE
SportsEngine,09/28/2026,18:00:00,09/28/2026,20:00:00,Sheet C,263F01,263F06,,,,0,Game,,1,0,FALSE
SportsEngine,09/28/2026,20:30:00,09/28/2026,22:30:00,Sheet C,263F00,263F07,,,,0,Game,,1,0,FALSE
SportsEngine,10/05/2026,18:00:00,10/05/2026,20:00:00,Sheet A,263F01,263F04,,,,0,Game,,1,0,FALSE
SportsEngine,10/05/2026,18:00:00,10/05/2026,20:00:00,Sheet B,263F05,263F07,,,,0,Game,,1,0,FALSE
SportsEngine,10/05/2026,18:00:00,10/05/2026,20:00:00,Sheet C,263F00,263F06,,,,0,Game,,1,0,FALSE
SportsEngine,10/05/2026,20:30:00,10/05/2026,22:30:00,Sheet C,263F02,263F03,,,,0,Game,,1,0,FALSE
SportsEngine,10/12/2026,18:00:00,10/12/2026,20:00:00,Sheet A,263F03,263F07,,,,0,Game,,1,0,FALSE
SportsEngine,10/12/2026,18:00:00,10/12/2026,20:00:00,Sheet B,263F04,263F06,,,,0,Game,,1,0,FALSE
SportsEngine,10/12/2026,18:00:00,10/12/2026,20:00:00,Sheet C,263F00,263F05,,,,0,Game,,1,0,FALSE
SportsEngine,10/12/2026,20:30:00,10/12/2026,22:30:00,Sheet C,263F01,263F02,,,,0,Game,,1,0,FALSE
SportsEngine,10/19/2026,18:00:00,10/19/2026,20:00:00,Sheet A,263F00,263F04,,,,0,Game,,1,0,FALSE
SportsEngine,10/19/2026,18:00:00,10/19/2026,20:00:00,Sheet B,263F02,263F06,,,,0,Game,,1,0,FALSE
SportsEngine,10/19/2026,18:00:00,10/19/2026,20:00:00,Sheet C,263F01,263F07,,,,0,Game,,1,0,FALSE
SportsEngine,10/19/2026,20:30:00,10/19/2026,22:30:00,Sheet C,263F03,263F05,,,,0,Game,,1,0,FALSE
SportsEngine,10/26/2026,18:00:00,10/26/2026,20:00:00,Sheet A,263F01,263F05,,,,0,Game,,1,0,FALSE
SportsEngine,10/26/2026,18:00:00,10/26/2026,20:00:00,Sheet B,263F06,263F07,,,,0,Game,,1,0,FALSE
SportsEngine,10/26/2026,18:00:00,10/26/2026,20:00:00,Sheet C,263F00,263F03,,,,0,Game,,1,0,FALSE
SportsEngine,10/26/2026,20:30:00,10/26/2026,22:30:00,Sheet C,263F02,263F04,,,,0,Game,,1,0,FALSE
SportsEngine,11/02/2026,18:00:00,11/02/2026,20:00:00,Sheet A,263F00,263F02,,,,0,Game,,1,0,FALSE
SportsEngine,11/02/2026,18:00:00,11/02/2026,20:00:00,Sheet B,263F04,263F07,,,,0,Game,,1,0,FALSE
SportsEngine,11/02/2026,18:00:00,11/02/2026,20:00:00,Sheet C,263F01,263F03,,,,0,Game,,1,0,FALSE
