Format,Start_Date,Start_Time,End_Date,End_Time,Location,Team1_ID,Team2_ID,Description,Location_Url,Location_Details,All_Day_Event,Event_Type,Team1_Is_Home
SportsEngine,11/11/2025,18:00:00,11/11/2025,20:00:00,Sheet A,25TF2B6,25TF2B1,,,,0,Game,1
SportsEngine,11/11/2025,18:00:00,11/11/2025,20:00:00,Sheet B,25TF2A1,25TF2A3,,,,0,Game,1
SportsEngine,11/11/2025,18:00:00,11/11/2025,20:00:00,Sheet C,25TF2A7,25TF2A5,,,,0,Game,1
SportsEngine,11/11/2025,20:30:00,11/11/2025,22:30:00,Sheet A,25TF2A4,25TF2A6,,,,0,Game,1
SportsEngine,11/11/2025,20:30:00,11/11/2025,22:30:00,Sheet B,25TF2B3,25TF2B2,,,,0,Game,1
SportsEngine,11/11/2025,20:30:00,11/11/2025,22:30:00,Sheet C,25TF2B7,25TF2B5,,,,0,Game,1
SportsEngine,11/18/2025,18:00:00,11/18/2025,20:00:00,Sheet A,25TF2A5,25TF2A1,,,,0,Game,1
SportsEngine,11/18/2025,18:00:00,11/18/2025,20:00:00,Sheet B,25TF2B6,25TF2B7,,,,0,Game,1
SportsEngine,11/18/2025,18:00:00,11/18/2025,20:00:00,Sheet C,25TF2B3,25TF2B4,,,,0,Game,1
SportsEngine,11/18/2025,20:30:00,11/18/2025,22:30:00,Sheet A,25TF2B5,25TF2B2,,,,0,Game,1
SportsEngine,11/18/2025,20:30:00,11/18/2025,22:30:00,Sheet B,25TF2A7,25TF2A6,,,,0,Game,1
SportsEngine,11/18/2025,20:30:00,11/18/2025,22:30:00,Sheet C,25TF2A2,25TF2A3,,,,0,Game,1
SportsEngine,11/25/2025,18:00:00,11/25/2025,20:00:00,Sheet A,25TF2B3,25TF2B5,,,,0,Game,1
SportsEngine,11/25/2025,18:00:00,11/25/2025,20:00:00,Sheet B,25TF2B1,25TF2B2,,,,0,Game,1
SportsEngine,11/25/2025,18:00:00,11/25/2025,20:00:00,Sheet C,25TF2A2,25TF2A6,,,,0,Game,1
SportsEngine,11/25/2025,20:30:00,11/25/2025,22:30:00,Sheet A,25TF2A5,25TF2A3,,,,0,Game,1
SportsEngine,11/25/2025,20:30:00,11/25/2025,22:30:00,Sheet B,25TF2A4,25TF2A1,,,,0,Game,1
SportsEngine,11/25/2025,20:30:00,11/25/2025,22:30:00,Sheet C,25TF2B6,25TF2B4,,,,0,Game,1
SportsEngine,12/2/2025,18:00:00,12/2/2025,20:00:00,Sheet A,25TF2B7,25TF2B2,,,,0,Game,1
SportsEngine,12/2/2025,18:00:00,12/2/2025,20:00:00,Sheet B,25TF2B5,25TF2B4,,,,0,Game,1
SportsEngine,12/2/2025,18:00:00,12/2/2025,20:00:00,Sheet C,25TF2A4,25TF2A3,,,,0,Game,1
SportsEngine,12/2/2025,20:30:00,12/2/2025,22:30:00,Sheet A,25TF2A7,25TF2A1,,,,0,Game,1
SportsEngine,12/2/2025,20:30:00,12/2/2025,22:30:00,Sheet B,25TF2A2,25TF2A5,,,,0,Game,1
SportsEngine,12/2/2025,20:30:00,12/2/2025,22:30:00,Sheet C,25TF2B3,25TF2B1,,,,0,Game,1
SportsEngine,12/9/2025,18:00:00,12/9/2025,20:00:00,Sheet A,25TF2A6,25TF2A1,,,,0,Game,1
SportsEngine,12/9/2025,18:00:00,12/9/2025,20:00:00,Sheet B,25TF2A2,25TF2A7,,,,0,Game,1
SportsEngine,12/9/2025,18:00:00,12/9/2025,20:00:00,Sheet C,25TF2B5,25TF2B1,,,,0,Game,1
SportsEngine,12/9/2025,20:30:00,12/9/2025,22:30:00,Sheet A,25TF2B6,25TF2B2,,,,0,Game,1
SportsEngine,12/9/2025,20:30:00,12/9/2025,22:30:00,Sheet B,25TF2B7,25TF2B4,,,,0,Game,1
SportsEngine,12/9/2025,20:30:00,12/9/2025,22:30:00,Sheet C,25TF2A4,25TF2A5,,,,0,Game,1
SportsEngine,12/16/2025,18:00:00,12/16/2025,20:00:00,Sheet A,25TF2A4,25TF2A7,,,,0,Game,1
SportsEngine,12/16/2025,18:00:00,12/16/2025,20:00:00,Sheet B,25TF2B3,25TF2B6,,,,0,Game,1
SportsEngine,12/16/2025,18:00:00,12/16/2025,20:00:00,Sheet C,25TF2B4,25TF2B2,,,,0,Game,1
SportsEngine,12/16/2025,20:30:00,12/16/2025,22:30:00,Sheet A,25TF2B7,25TF2B1,,,,0,Game,1
SportsEngine,12/16/2025,20:30:00,12/16/2025,22:30:00,Sheet B,25TF2A6,25TF2A3,,,,0,Game,1
SportsEngine,12/16/2025,20:30:00,12/16/2025,22:30:00,Sheet C,25TF2A2,25TF2A1,,,,0,Game,1
SportsEngine,12/30/2025,18:00:00,12/30/2025,20:00:00,Sheet A,25TF2A4,25TF2A2,,,,0,Game,1
SportsEngine,12/30/2025,18:00:00,12/30/2025,20:00:00,Sheet B,25TF2B3,25TF2B7,,,,0,Game,1
SportsEngine,12/30/2025,18:00:00,12/30/2025,20:00:00,Sheet C,25TF2A5,25TF2A6,,,,0,Game,1
SportsEngine,12/30/2025,20:30:00,12/30/2025,22:30:00,Sheet A,25TF2B4,25TF2B1,,,,0,Game,1
SportsEngine,12/30/2025,20:30:00,12/30/2025,22:30:00,Sheet B,25TF2A7,25TF2A3,,,,0,Game,1
SportsEngine,12/30/2025,20:30:00,12/30/2025,22:30:00,Sheet C,25TF2B6,25TF2B5,,,,0,Game,1
