Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,9/26/2024,6:00 PM,9/26/2024,8:00 PM,Bueermann at Best Guess,,Sheet A,,,0,Game,,24HF04,1,24HF08,,FALSE,562957857
SportsEngine,9/26/2024,8:30 PM,9/26/2024,10:30 PM,Team 13 at Barber,,Sheet A,,,0,Game,,24HF05,1,24HF12,,FALSE,562957858
SportsEngine,9/26/2024,6:00 PM,9/26/2024,8:00 PM,Unnirvin at JAKE,,Sheet C,,,0,Game,,24HF02,1,24HF06,,FALSE,562957859
SportsEngine,9/26/2024,6:00 PM,9/26/2024,8:00 PM,Liske at Standeven,,Sheet B,,,0,Game,,24HF10,1,24HF01,,FALSE,562957860
SportsEngine,9/26/2024,8:30 PM,9/26/2024,10:30 PM,Neil at Team 12,,Sheet C,,,0,Game,,24HF11,1,24HF07,,FALSE,562957861
SportsEngine,9/26/2024,8:30 PM,9/26/2024,10:30 PM,Ordering Takeout at Fuming Stones,,Sheet B,,,0,Game,,24HF03,1,24HF00,,FALSE,562957862
SportsEngine,10/3/2024,6:00 PM,10/3/2024,8:00 PM,Standeven at Barber,,Sheet B,,,0,Game,,24HF05,1,24HF10,,FALSE,562957863
SportsEngine,10/3/2024,8:30 PM,10/3/2024,10:30 PM,Liske at Unnirvin,,Sheet A,,,0,Game,,24HF06,1,24HF01,,FALSE,562957864
SportsEngine,10/3/2024,8:30 PM,10/3/2024,10:30 PM,Ordering Takeout at Best Guess,,Sheet B,,,0,Game,,24HF04,1,24HF00,,FALSE,562957865
SportsEngine,10/3/2024,6:00 PM,10/3/2024,8:00 PM,Team 13 at Neil,,Sheet C,,,0,Game,,24HF07,1,24HF12,,FALSE,562957866
SportsEngine,10/3/2024,6:00 PM,10/3/2024,8:00 PM,Fuming Stones at Ice Breakers,,Sheet A,,,0,Game,,24HF09,1,24HF03,,FALSE,562957867
SportsEngine,10/3/2024,8:30 PM,10/3/2024,10:30 PM,Bueermann at JAKE,,Sheet C,,,0,Game,,24HF02,1,24HF08,,FALSE,562957868
SportsEngine,10/10/2024,8:30 PM,10/10/2024,10:30 PM,Neil at Liske,,Sheet A,,,0,Game,,24HF01,1,24HF07,,FALSE,562957869
SportsEngine,10/10/2024,8:30 PM,10/10/2024,10:30 PM,Ice Breakers at JAKE,,Sheet B,,,0,Game,,24HF02,1,24HF09,,FALSE,562957870
SportsEngine,10/10/2024,8:30 PM,10/10/2024,10:30 PM,Fuming Stones at Best Guess,,Sheet C,,,0,Game,,24HF04,1,24HF03,,FALSE,562957871
SportsEngine,10/10/2024,6:00 PM,10/10/2024,8:00 PM,Team 13 at Unnirvin,,Sheet B,,,0,Game,,24HF06,1,24HF12,,FALSE,562957872
SportsEngine,10/10/2024,6:00 PM,10/10/2024,8:00 PM,Team 12 at Barber,,Sheet A,,,0,Game,,24HF05,1,24HF11,,FALSE,562957873
SportsEngine,10/10/2024,6:00 PM,10/10/2024,8:00 PM,Bueermann at Ordering Takeout,,Sheet C,,,0,Game,,24HF00,1,24HF08,,FALSE,562957874
SportsEngine,10/17/2024,8:30 PM,10/17/2024,10:30 PM,Barber at Bueermann,,Sheet C,,,0,Game,,24HF08,1,24HF05,,FALSE,562957875
